"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","All Sale Types","Number","1019"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","637"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","382"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","275"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","223"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","52"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","531"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","298"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","233"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","213"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","116"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","97"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","34"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","21"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","13"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","1044"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","669"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","375"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","1000"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","640"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","360"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","271"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","222"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","49"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","526"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","304"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","222"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","203"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","114"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","89"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","44"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","29"
"Volume of Sales","2012","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","15"
"Volume of Sales","2012","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","88"
"Volume of Sales","2012","Limerick","New","Filings","All Buyer Types","Market","Number","64"
"Volume of Sales","2012","Limerick","New","Filings","All Buyer Types","Non-Market","Number","24"
"Volume of Sales","2012","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","82"
"Volume of Sales","2012","Limerick","New","Filings","Household Buyer - All","Market","Number","59"
"Volume of Sales","2012","Limerick","New","Filings","Household Buyer - All","Non-Market","Number","23"
"Volume of Sales","2012","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","28"
"Volume of Sales","2012","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","24"
