"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Vacancy Rate - 2016","2016","Wicklow","%","8.5"
"Vacancy Rate - 2016","2016","Munster","%","14.7"
"Vacancy Rate - 2016","2016","Clare","%","19.9"
"Vacancy Rate - 2016","2016","Cork","%","12.3"
"Vacancy Rate - 2016","2016","Cork City","%","8.1"
"Vacancy Rate - 2016","2016","Cork County","%","13.6"
"Vacancy Rate - 2016","2016","Kerry","%","24.2"
"Vacancy Rate - 2016","2016","Limerick","%","10.7"
"Vacancy Rate - 2016","2016","Limerick City","%","9.8"
"Vacancy Rate - 2016","2016","Limerick County","%","11.1"
"Vacancy Rate - 2016","2016","North Tipperary","%","13.8"
"Vacancy Rate - 2016","2016","South Tipperary","%","11.9"
"Vacancy Rate - 2016","2016","Waterford","%","14.6"
"Vacancy Rate - 2016","2016","Waterford City","%","12.2"
"Vacancy Rate - 2016","2016","Waterford County","%","16.4"
"Vacancy Rate - 2016","2016","Connacht","%","20"
"Vacancy Rate - 2016","2016","Galway","%","15.5"
"Vacancy Rate - 2016","2016","Galway City","%","10.5"
"Vacancy Rate - 2016","2016","Galway County","%","17.7"
"Vacancy Rate - 2016","2016","Leitrim","%","29.5"
"Vacancy Rate - 2016","2016","Mayo","%","24"
"Vacancy Rate - 2016","2016","Roscommon","%","21.6"
"Vacancy Rate - 2016","2016","Sligo","%","20.8"
"Vacancy Rate - 2016","2016","Ulster (part of)","%","23.1"
"Vacancy Rate - 2016","2016","Cavan","%","18.2"
"Vacancy Rate - 2016","2016","Donegal","%","28.2"
"Vacancy Rate - 2016","2016","Monaghan","%","12.9"
"Actual change in vacant dwellings","2016","State","Number","-29889"
"Actual change in vacant dwellings","2016","Leinster","Number","-16550"
"Actual change in vacant dwellings","2016","Carlow","Number","-785"
"Actual change in vacant dwellings","2016","Dublin","Number","-6975"
"Actual change in vacant dwellings","2016","Dublin City","Number","-2857"
"Actual change in vacant dwellings","2016","Dún Laoghaire-Rathdown","Number","-1470"
"Actual change in vacant dwellings","2016","Fingal","Number","-1346"
"Actual change in vacant dwellings","2016","South Dublin","Number","-1302"
"Actual change in vacant dwellings","2016","Kildare","Number","-1198"
"Actual change in vacant dwellings","2016","Kilkenny","Number","-895"
"Actual change in vacant dwellings","2016","Laois","Number","-785"
"Actual change in vacant dwellings","2016","Longford","Number","-794"
"Actual change in vacant dwellings","2016","Louth","Number","-1227"
"Actual change in vacant dwellings","2016","Meath","Number","-847"
"Actual change in vacant dwellings","2016","Offaly","Number","-617"
"Actual change in vacant dwellings","2016","Westmeath","Number","-587"
"Actual change in vacant dwellings","2016","Wexford","Number","-1161"
"Actual change in vacant dwellings","2016","Wicklow","Number","-679"
"Actual change in vacant dwellings","2016","Munster","Number","-9487"
"Actual change in vacant dwellings","2016","Clare","Number","-563"
"Actual change in vacant dwellings","2016","Cork","Number","-4924"
"Actual change in vacant dwellings","2016","Cork City","Number","-1615"
"Actual change in vacant dwellings","2016","Cork County","Number","-3309"
"Actual change in vacant dwellings","2016","Kerry","Number","-1462"
"Actual change in vacant dwellings","2016","Limerick","Number","-1258"
"Actual change in vacant dwellings","2016","Limerick City","Number","-690"
"Actual change in vacant dwellings","2016","Limerick County","Number","-568"
"Actual change in vacant dwellings","2016","North Tipperary","Number","-246"
"Actual change in vacant dwellings","2016","South Tipperary","Number","-179"
"Actual change in vacant dwellings","2016","Waterford","Number","-855"
"Actual change in vacant dwellings","2016","Waterford City","Number","-550"
"Actual change in vacant dwellings","2016","Waterford County","Number","-305"
"Actual change in vacant dwellings","2016","Connacht","Number","-2556"
"Actual change in vacant dwellings","2016","Galway","Number","-1190"
"Actual change in vacant dwellings","2016","Galway City","Number","-84"
"Actual change in vacant dwellings","2016","Galway County","Number","-1106"
"Actual change in vacant dwellings","2016","Leitrim","Number","-151"
"Actual change in vacant dwellings","2016","Mayo","Number","-284"
